,Country,Confirmed,Deaths,Recovered,latitude,longitude
34,Central African Republic,1243985.0,15386.0,600901.0,6.611111,20.939444
35,Chad,463669.0,26567.0,383989.0,15.454166,18.732207
36,Chile,133260141.0,3471871.0,123618110.0,-35.675146999999996,-71.542969
37,China,32591323.0,1667996.0,29111162.0,35.86166,104.195397
38,Colombia,272628329.0,7636744.0,239986639.0,4.570868,-74.297333
39,Comoros,237534.0,6245.0,195920.0,-11.875001,43.872219
40,Costa Rica,25580240.0,322980.0,17592549.0,9.748917,-83.753428
41,Croatia,23257767.0,441305.0,21125533.0,45.1,15.2
42,Cuba,2793762.0,39164.0,2377941.0,21.521757,-77.78116700000001
43,Cyprus,2756981.0,18884.0,424682.0,35.126413,33.429859
